ArcName,Volcano Name,GVP Volcano Number,latitude,longitude,,Mean SO2 flux [kt/y] ,SD ,Final SO2 flux (2005-2015) from combined space- and  and ground-based measurements ,SO2 flux uncertainty ,method,References,DOI,ktons,Erupted CO2 flux (ktons) using measured C/S,Erupted CO2 flux using predicted C/S,"C/S (molar) Aiuppa et al., 2017, 2018 and from plume MG",SD,"predicted C/S (molar) Aiuppa et al., 2019 ",SD ,"Predicted C/S based on group following Aiuppa et al., 2019 method",SD ,CO2 flux (kt/yr) based on measured C/S,"Predicted CO2 flux (kt/yr) using published predicted C/S (Aiuppa et al., 2019)",Predicted CO2 flux (kt/yr) using extrapolated predicted C/S,CO2 summary (kt/y),SD CO2 summary (kt/y)summary (kt/y),,,
,,,,,ktons/y,kt/y,,ktons/y,ktons/y,Space Based or Ground based,,,,,,,,,,,,,,,,,,,
Colombia,CERRO_BRAVO,351012,5.091,-75.293,,,,, ,,,,,,,,,,,,,,,,,,,,
Colombia,RUIZ,351020,4.892,-75.324,392.01,111,78,392.0,441.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,3,0.5,,,,,808.5,,,808.5,450.7,,,
Colombia,HUILA,351050,2.93,-76.03,228.855,,,228.9,257.9,SB,"Carn et al., 2017",10.1038/srep44095,,,,2,0.6,,,,,314.7,,,314.7,193.1,,,
Colombia,PURACE,351060,2.32,-76.4,,76,,76.0,22.8,GB,"Arellano et al., in rev",,,,,,,,,5,1.5,,,261.3,261.3,110.8,,,
Colombia,GALERAS,351080,1.22,-77.37,79.57,112,82,112.0,0.3,SB,"Arellano et al., in rev, Werner et al., 2019",10.196/novac.galeras.001,,,,3.3,0.5,,,,,254.1,,,254.1,38.5,,,
Ecuador,REVENTADOR,352010,-0.077,-77.656,75.19,,,75.2,84.7,SB,"Carn et al., 2017",10.1038/srep44095,,,,,,2.2,0.8,,,,113.7,,113.7,78.2,,,
Ecuador,COTOPAXI,352050,-0.677,-78.436,,112,118,112.0,33.6,GB,"Arellano et al., in rev",10.196/novac.cotopaxi.001,90,111.4,,1.8,,,,,,138.6,,,138.6,41.6,,,
Ecuador,TUNGURAHUA,352080,-1.467,-78.442,124.83,242,67,242.0,72.6,SB,"Arellano et al., in rev",10.196/novac.tungurahua.001,40,,68.8,,,2.5,0.8,,,,415.9,,415.9,182.4,,,
Ecuador,SANGAY,352090,-2.005,-78.341,,70,3,70.0,21.0,GB,"Arellano et al., in rev",10.196/novac.sangay.001,,,,,,,,5,1.5,,,240.6,240.6,102.1,,,
Peru,SABANCAYA,354006,-15.787,-71.857,31.755,40,0,31.8,35.8,SB,"Carn et al., 2017",10.1038/srep44095,,,,1.5,0.1,,,,,32.7,,,32.7,18.6,,,
