,,,,
,,,,
,,,,
,,,,
,,,,
Volcano Name,IGSN,latitude,longitude,GVP Volcano Number
,,,,
CERRO_BRAVO,,5.091,-75.293,351012
RUIZ,,4.892,-75.324,351020
HUILA,,2.93,-76.03,351050
PURACE,,2.32,-76.4,351060
GALERAS,,1.22,-77.37,351080
REVENTADOR,,-0.077,-77.656,352010
COTOPAXI,,-0.677,-78.436,352050
TUNGURAHUA,,-1.467,-78.442,352080
SANGAY,,-2.005,-78.341,352090
SABANCAYA,,-15.787,-71.857,354006
UBINAS,,-16.355,-70.903,354020
ISLUGA,,-19.15,-68.83,355030
LASCAR,,-23.37,-67.73,355100
LASTARRIA,,-25.168,-68.507,355120
PLANCHON-PETEROA,,-35.223,-70.568,357040
COPAHUE,,-37.856,-71.183,357090
LLAIMA,,-38.692,-71.729,357110
VILLARRICA,,-39.42,-71.93,357120
CORDON_CAULLE,,-40.59,-72.117,357150
CALBUCO,,-41.33,-72.618,358020
CHAITEN,,-42.833,-72.646,358041
SANTIAGUITO,,14.757,-91.552,342030
FUEGO,,14.473,-90.88,342090
PACAYA,,14.382,-90.601,342110
SANTA_ANA,,13.853,-89.63,343020
SAN_MIGUEL,,13.434,-88.269,343100
SAN_CRISTOBAL,,12.702,-87.004,344020
TELICA,,12.606,-86.84,344040
MOMOTOMBO,,12.423,-86.539,344090
MASAYA,,11.984,-86.161,344100
CONCEPCION,,11.538,-85.622,344120
RINCON,,10.83,-85.324,345020
ARENAL,,10.463,-84.703,345033
POAS,,10.2,-84.233,345040
TURRIALBA,,10.025,-83.767,345070
Rainier,,46.853,-121.76,321030
Lassen Peak,,40.492,-121.508,323080
Mount Baker,,48.777,-121.813,321010
Mount Hood,,45.374,-121.695,322010
Mount St. Helens,,46.2,-122.18,321050
Mt Shasta,,41.409,-122.193,323010
Adams,,46.206,-121.49,321040
Three Sisters,,44.133,-121.767,322070
Mt. Jefferson,,44.674,-121.8,322020
FUEGO DE COLIMA,,19.514,-103.62,341040
El Chichon,,17.36,-93.228,341120
Popocateptl,,19.023,-98.622,341090
SPURR,,61.299,-152.251,313040
REDOUBT,,60.485,-152.742,313030
ILIAMNA,,60.032,-153.09,313020
AUGUSTINE,,59.363,-153.43,313010
